player_name,player_team,position,injury_status,league_team,minutes,free_throws_made,free_throws_attempted,free_throw_percentage,three_pointer,rebounds,assists,steals,blocks,points
Wesley Johnson,LAC,SF,"","",18.5,0.5,0.5,1.000,1.5,3.5,0.3,0.5,0.8,6.0
Richaun Holmes,Phi,PF,"","",9.5,0.5,1.3,.400,0.3,3.0,0.5,0.0,0.3,4.8
Ivica Zubac,LAL,C,"","",6.0,1.0,1.3,.750,0.0,1.7,0.3,0.0,0.3,3.0
Deyonta Davis,Mem,PF,"","",18.8,0.5,0.8,.667,0.0,4.3,0.5,0.0,0.5,7.5
Tim Duncan,SA,PF,"","",--,--,--,--,--,--,--,--,--,--
Ante Zizic,Cle,PF,"","",10.5,1.0,1.0,1.000,0.0,1.5,0.0,0.0,0.0,5.0
Dwayne Bacon,Cha,SG,"","",29.3,1.8,1.8,1.000,0.0,3.8,2.0,1.0,0.0,9.3
Daniel Theis*,Bos,C,O,"",--,--,--,--,--,--,--,--,--,--
Patrick Patterson,OKC,PF,"","",13.7,0.7,0.7,1.000,0.7,2.0,0.3,0.7,0.3,3.3
Vince Carter,Sac,SG,"","",23.0,0.0,0.0,.000,1.5,2.5,1.0,0.0,0.5,6.5
Kevin Garnett,Min,PF,"","",--,--,--,--,--,--,--,--,--,--
Cedi Osman*,Cle,SF,O,"",--,--,--,--,--,--,--,--,--,--
Channing Frye,LAL,PF,"","",7.0,0.0,0.0,.000,0.0,0.0,0.0,0.0,0.0,4.0
Luke Kornet,NY,PF,"","",22.3,0.7,0.7,1.000,2.0,3.3,2.0,0.7,0.7,8.0
Brandon Knight*,Pho,PG,O,"",--,--,--,--,--,--,--,--,--,--
Royce O'Neale,Utah,PF,"","",17.0,0.0,0.0,.000,0.3,2.3,0.5,0.3,0.5,3.3
Amir Johnson,Phi,PF,"","",13.5,0.0,0.0,.000,0.0,2.0,2.0,0.5,0.8,3.0
Matthew Dellavedova*,Mil,SG,O,"",--,--,--,--,--,--,--,--,--,--
Jerryd Bayless,Phi,PG,"","",--,--,--,--,--,--,--,--,--,--
Omri Casspi*,GS,SF,O,"",--,--,--,--,--,--,--,--,--,--
Jose Calderon,Cle,PG,"","",20.7,0.0,0.0,.000,1.7,1.7,3.7,0.3,0.0,7.0
Thabo Sefolosha*,Utah,SG,O,"",--,--,--,--,--,--,--,--,--,--
Paul Pierce,LAC,SF,"","",--,--,--,--,--,--,--,--,--,--
Troy Williams,NY,SF,"","",15.0,0.0,0.0,.000,0.5,2.3,1.3,1.3,0.3,4.0
Kobi Simmons,Mem,SG,"","",13.3,1.3,1.3,1.000,0.0,0.3,1.3,0.0,0.0,2.7
Terrance Ferguson,OKC,SG,"","",15.0,0.7,0.7,1.000,0.3,0.7,0.3,0.3,0.0,1.7
Boban Marjanovic,LAC,C,"","",7.5,0.0,0.0,.000,0.0,4.5,1.0,0.0,1.5,4.0
Andre Roberson*,OKC,SF,O,"",--,--,--,--,--,--,--,--,--,--
Glenn Robinson III,Ind,SG,"","",12.3,0.7,0.7,1.000,0.7,2.7,0.3,0.7,0.0,4.0
Pat Connaughton,Por,SG,"","",14.7,0.3,0.7,.500,0.3,3.0,0.0,0.3,0.0,2.0
Sindarius Thornwell,LAC,SG,"","",20.3,1.8,2.5,.700,0.0,4.0,1.0,1.0,0.0,3.8
Chris Bosh,Mia,C,"","",--,--,--,--,--,--,--,--,--,--
Sterling Brown,Mil,SG,"","",10.0,0.0,0.0,.000,0.5,2.0,0.5,0.0,0.0,4.5
T.J. Leaf,Ind,PF,"","",--,--,--,--,--,--,--,--,--,--
Jameer Nelson,Det,PG,"","",--,--,--,--,--,--,--,--,--,--
Caleb Swanigan,Por,PF,"","",--,--,--,--,--,--,--,--,--,--
Bryn Forbes,SA,SG,"","",13.3,0.0,0.0,.000,0.0,0.7,1.0,0.0,0.0,0.7
Michael Carter-Williams*,Cha,PG,O,"",--,--,--,--,--,--,--,--,--,--
Timofey Mozgov,Bkn,C,"","",--,--,--,--,--,--,--,--,--,--
Patrick McCaw,GS,SG,"","",27.5,1.0,1.0,1.000,0.5,1.0,2.5,0.0,0.0,6.5
Quincy Acy,Bkn,SF,"","",22.0,0.0,0.0,.000,3.0,4.0,2.0,0.0,2.0,9.0
Antonio Blakeney*,Chi,SG,O,"",23.0,0.0,0.0,.000,0.0,3.0,3.0,0.0,0.0,6.0
Isaiah Canaan*,Hou,PG,O,"",--,--,--,--,--,--,--,--,--,--
Torrey Craig,Den,SG,"","",18.3,1.0,2.0,.500,0.3,5.0,1.0,0.3,0.0,6.7
